thread_num,thread_name,thread_label,thread_replies,thread_label_id
68910,"Ro, Sham, BOOOM! Mafia - Signups [3/15]",other,10,8
65968,Pick Your Scumteam - Mafia wins - Thanks to everyone that stuck with it,vanilla,853,11
65077,Wizard Duel 4 - Duel 7 - Game over! All Hail Criptfeind!,other,633,8
66479,Beginner's Mafia XVI [Done],beginners-mafia,253,1
67787,Kingdom Mafia [3/12],other,15,8
65727,BYOR 5 - Night 3: Under Con-Troll.,byor,642,2
66242,Bring Someone Else's Role Mafia[Baking Rolls],other,175,8
65277,BYOT mafia: Night 2 - 13/19 alive - Delicious,other,493,8
51708,"The Attendance Ranking Board, Quarter 2, 2010",other,123,8
58449,Vote Mafia 7 - Game Over: Mafia Wins!,closed-setup,583,4
65951,Imploded thread-,other,88,8
65002,Third Party 2 - Game Over: Cult Wins... I guess,classic,246,3
66099,Faction Mafia - DAY 0 - SIGNUP [0/14]   ...OR DONT ITS COOL,other,5,8
65736,Pick Your Scumteam - RE-DO,other,210,8
63487,BYOR 4 - Game Over: Cult Win,byor,788,2
64655,Beginner's Mafia XV - Day 4!,beginners-mafia,320,1
64130,Beginner's Mafia XIV - Game Over! Mafia win!,beginners-mafia,394,1
63366,"So, I'm thinking about running something flavorful in a while",other,52,8
62217,Bring Your Own Trope Mafia - Started! Link inside,other,431,8
64303,"Mapped Mafia Reboot (Period 1,Turn 2)",other,102,8
63167,Dwarf Fortress themed Mafia Game. 3/12,other,32,8
64758,Crowd Mafia! [0/-],other,9,8
61674,"Mapped Mafia (Replacement needed, postponed until I can work out bugs)",other,95,8
49517,Ex Cathedra [BMIX]: Sunrise,beginners-mafia,652,1
61612,Beginner's Mafia 13 - Mafia wins!,beginners-mafia,288,1
57425,Dethy Deluxe Mafia: Night 1 probs doesn't need a replacement,other,253,8
63009,MOVED: Systematically Choose Who Wins,other,0,8
61915,Supernatural Mafia - Round 2 Signups - Closed,other,78,8
60772,Holiday,other,12,8
60252,Open Games and Replacements - Now Closed Due to Rampant Vector,other,14,8
57489,Monks and Masons Mafia - END! Wolves win!,classic,423,3
59066,Beginner's Mafia 12: Game over. Mafia win.,beginners-mafia,247,1
56592,Ed's BYOR - Day 3 - Canceled,other,503,8
57012,Bay 12 Mafia - Night Three - Low Resolution - 2 replacements needed,other,1010,8
59495,Never mind,other,45,8
57577,Beginner's Mafia 11 - Night 2: Stopped Before He Could Kilikan! Or Start.,other,259,8
57774,Supernatural Mafia - Discussion,other,65,8
57352,Paranormal Mafa - Round 16 - Game Over!,paranormal,729,9
58646,A healthy dose of GODDAMN FINALS,other,18,8
58877,Battlestar Galactica,other,6,8
56801,"Beginner's Mafia X, Restart[MAFIA WIN]",beginners-mafia,291,1
56304,Gang Mafia v1,other,2,8
55050,Vote Mafia 6 - Game Over: Mafia Wins!,closed-setup,694,4
53126,WUBA WUBA WUBA,other,47,8
53088,Hangman - Game Over - Is it hanged or hung?  Mafia win!,bastard,332,0
54229,Vote Mafia: Special Edition - Game Over: Mafia Wins,closed-setup,253,4
54074,Paranormal Mafia - Round 15 - Game over!,paranormal,863,9
55114,BM X[RESTART]:Invaders of the GSD Kronos[STARTING FRIDAY],other,185,8
50568,"iPick [d5] 4/13 alive - Game over, citizen. Town wins.",byor,679,2
55468,"Veil of Ignorance, Game Idea",other,11,8
51010,Vote Mafia 5 - Game Over: Town wins!,closed-setup,351,4
51783,Beginner's Mafia X:Invaders of the GSD Kronos[DAY 3][YO LEAFSNAIL WHERE ARE YOU],other,431,8
50703,BYOR: Choices Day 4 (*insert obligitary question about my identity here*),other,446,8
49771,"[sign-ups: 1/5] GlyphGryph's Quick Bastard, Redux - Last Chance at Life",other,22,8
49711,Near-Mountainous Mafia 2 (Signups - 3 slots remaining),other,136,8
48870,Toon Mafia 6 - End - Zombie Toony!,closed-setup,736,4
49383,Boot Camp Mafia: End ,vanilla,467,11
50885,Beginner's Mafia 10: WE MADE IT! (Game has started.  See last page for link),other,135,8
47566,"The Attendance Ranking Board, Quarter 1, 2010 (Ended Mar 21st)",other,299,8
46821,Distinct possibility of absence,other,42,8
48195,BYOR 3 - Game Over: Mafia Wins,byor,777,2
50880,With apologies to all,other,21,8
48113,"MultipickMafia - SIGNUPS OPEN, 6/At Least 7",other,57,8
48784,"Werewolf III: I, Myself, and Me (5 people needed, more recommended)",other,18,8
49689,Paranormal Mafia - Round 14 - Game Over!,paranormal,492,9
50572,Hey you,other,20,8
49428,"iPick Mafia Signups, Game started (link to main thread at end)",other,231,8
49067,[Gaem Ovar] MSPA Mafia -=2=- Jester + Cult + Survivor Win!,closed-setup,590,4
47951,Kingmaker Mafia - Game Over - Mafia Wins!,classic,384,3
50101,Apology for Absence,other,7,8
45228,Horrible Role Mafia - FoS Brigade? - Mafia Win,closed-setup,535,4
49505,A Mass Announcement,other,15,8
49838,"Broken Brothers Mafia-Yes, I'm running this thing.",other,4,8
46384,"Rysith's Semi-Bastard Mod Mafia (Game over, LASD and Vector win!)",bastard,562,0
48282,Beginner's Mafia 9: Game has begun.  Link to game on last post.,other,160,8
48208,Paranormal Mafia - Round 13 - Game over,paranormal,425,9
48913,Third Party Mafia - Game Over: That was fast.,closed-setup,84,4
47530,[DAY 4]Aztec Mafia[SPANIARD WIN],classic,420,3
47768,BM8: The Eclipse (End: Town Victory),vanilla,486,11
48330,"Gryph's Quick Bastard: END. Everyone dies, Audience+Host win.",bastard,105,0
49027,werewolf game,other,12,8
47778,Bellsounder Bastard Mod: The End Which Never Ends.,bastard,384,0
45875,"[DISCUSSION]INFILTRATE//SEEK//ELIMINATE -  ""Cybrid Infiltration""",other,40,8
47630,"Archangel's Werewolf (Come One, Come All!)",other,27,8
48321,"ExKirby's BYOR II-Oh god, here comes the Bastard.",other,33,8
46569,Second Chance Mafia: Day 2,other,289,8
44988,One Lynch Mafia- Day 6: More of the same,classic,286,3
44802,BYOR Mafia 2 (Game Over: Town Wins!),byor,742,2
46294,Vector's Bastard Mafia Game (Zombie Victory! Cult comes Second Place!),bastard,349,0
46688,BM7: PokeBox #058: Town Victory!,beginners-mafia,433,1
45614,Paranormal Mafia - Round 12 - Game Over!,paranormal,726,9
46598,Vote Mafia 4: Let's Bureacratically Solve This! (Game Over! Mafia Win),closed-setup,308,4
44583,Wizard Duel - Round 3 - Over: All Hail Jim Groovester!,classic,704,3
48116,Mutant Mafia - Idea discussion,other,3,8
46711,Christmas Mafia: End - final gift,closed-setup,571,4
44270,uPick Mafia: Panda Edition Day6 - Mafia wins. Cheeetar calls Shenanigans.,byor,2252,2
47801,Calvinball Mafia Discussion,other,7,8
46678,Near-Mountainous Mafia: End:  KISS me goodbye.,vanilla,222,11
47167,Beginner's Mafia 8: Game started in new thread (link here on last post),other,104,8
46111,"The Attendance Ranking Board (Beta), Season 0",other,175,8
38068,"Kodak Mafia (Canceled forever... Insufficient interest, not for b12)",other,53,8
45752,Beginner's Mafia 6: End  - End of an Age,beginners-mafia,418,1
44417,B12 Mafia Awards 2009 (Taking nominations & suggestions for a name),other,90,8
46622,Please disregard this topic.,other,36,8
46921,Broken Brothers Test Game (5/9),other,12,8
47059,Mafia Grinch/Santa Letter Probabilities,other,6,8
46718,Broken Brothers Mafia-Discussion,other,24,8
46170,Christmas Mafia - Discussion thread,other,64,8
46709,Christmas Mafia: False start!  (back to game setup),other,11,8
45913,Beginner's Mafia 7 - Game Setting up,other,155,8
46307,Near-Mountainous Mafia - Game in Setup,other,31,8
44563,LCS Mafia - Game Over - From The Jaws Of Victory - CCS Bastards Win,non-mafia-game,505,7
44592,"MSPA Mafia (Day 7, Game Ends! Scum Victory!)",bastard,752,0
43862,Not So Beginner Mafia 2: End - Snowy white.,vanilla,555,11
46123,Card-Gameish Mafia Discussion,other,15,8
46118,"Creative Developer's League: A Place For Designing, Improving, + Testing Rounds",other,1,8
44550,Ill Met By Moonlight Mafia:(BastardMaybeMod) Day 2: Game Over!,bastard,195,0
43272,The Mafia Board Karma Thread,other,451,8
44546,Don't Out Guess the Mod Mafia 2 [Game Over: Mod Loses],bastard,376,0
44176,Chosen Mafia - Over.,classic,164,3
45499,[DISCUSSION]:Aztec Mafia,other,14,8
44280,Beginner's Mafia 5: End - Birth of a New Cause,beginners-mafia,367,1
45514,Lights Out Mafia-Discussion,other,22,8
45024,Beginner's Mafia 6: Signups over. Game starting in new thread.,other,68,8
44803,Kill Webadict Now - Dakarian Edition: End - A fond farewell,bastard,346,0
45431,DISCUSSION: King of the Mafia,other,16,8
45118,Paranormal Mafia - Round 12 - Sign-up thread (closed),other,70,8
43648,Beginner's Mafia 4: End - Winter Wonderland,beginners-mafia,415,1
43713,Toon Mafia V - Day 5 - GAMEOVER,bastard,550,0
42096,Bay 12 Mafia - Game Over - The Computer's Revenge,closed-setup,893,4
43945,Paranormal Round 11 - Game Over!,paranormal,271,9
45012,Speed Mafia!,other,9,8
41769,Wizard Duel Rules Discussion,other,148,8
44520,BYOR-The ExKirby Version-Night 2!,other,230,8
45021,An Experiment Gone Wrong...,other,7,8
44972,"Red Vs Blue Election Mafia, Attempt 3! 14 Spots.",other,7,8
44795,Slasher Mafia,other,9,8
44336,Don't Out Guess the Mod Mafia (First Failure!),bastard,213,0
43512,BYOR Mafia (Town Wins!),byor,691,2
42941,"Wizard Duel - Round 2 - Over - All Hail Org, new High Mage",classic,513,3
44357,Double Bluff Mafia (JOIN DAMMIT!!!),other,17,8
44282,Lord of the Rings Mafia Discussion,other,15,8
44345,"Parallel World Mafia 2: it's like crack, only legal: Signups open.",other,13,8
43695,Kill Webadict Now Mafia [Morning 2: And then it was done],bastard,392,0
44155,My second attempt at Red Vs Blue.,other,4,8
43701,One Shot Mafia,other,21,8
44181,Worst Role Ideas,other,65,8
44177,Extraordinary Mafia ,other,2,8
43136,Parallel World Mafia - Alpha: It's all over!,closed-setup,250,4
43138,Parallel World Mafia - Beta: Day 4  It's all Over!,closed-setup,113,4
44086,Discussion:  Battle Chess Mafia,other,15,8
43546,Secret Agent Mafia,other,6,8
42742,Color Mafia (Game Over! Town Wins!),closed-setup,380,4
42373,Paranormal Mafia - Round 10 - Game Over,paranormal,839,9
41808,[Starting] Systematically Make Others Lose,other,276,8
43767,By Request: The consolidated story of Beginner's Mafia 3/Not So Beginner's Mafia,other,22,8
43829,Systematically Make Others Lose - Round 2,other,4,8
42348,Not-so Beginner Mafia:  End- Turn to walk away,vanilla,612,11
43607,May disappear soon ,other,25,8
43572,Flamewar Mafia (Concept/Discussion),other,16,8
43567,"Chosen mafia, help me with roles and reserve places now.",other,4,8
43502,Secret Agent Mafia Discussion,other,38,8
42239,Toon Mafia IV - Day 3 - Too Hell With It - GAME OVER,closed-setup,272,4
40179,Paranormal Mafia - Round 8 - Over,paranormal,240,9
40671,Paranormal Mafia - Round 9 - Game Over,paranormal,769,9
42347,Beginner Mafia 3: It all ends in silence.,beginners-mafia,392,1
43109,Ridiculous Mafia - why does it fail?,other,11,8
43271,Mafia: Karma Thread,other,7,8
43032,"Parallel World Mafia:, Game setting up.  Signups Closed",other,33,8
42991,Small Mafia Game - Any Interest?,other,22,8
42747,Time Travel Mafia-Possibly the biggest Mafia so far?,other,10,8
41999,Wizard Duel: Duel 5 - Game over! All Hail JanusTwoFace,closed-setup,376,4
41816,Weirdo Mafia Round 2! Night 4!,closed-setup,305,4
41867,The Quantum Mafia - Night 2: Replacement needed,other,143,8
42573,Imperium Mafia-Signups,other,4,8
42527,Imperium Mafia Discussion,other,7,8
42326,Paranormal Mafia - Round 10 sign-ups now closed,other,37,8
41493,Beginner's Mafia 2 - Game over.  ,beginners-mafia,345,1
42288,Emprisonment Mafia Discussion.,other,4,8
41492,"Religion Mafia #2---DAY 3, Need One Replacement!",other,199,8
40425,Religion Mafia - Discussion and Brainstorming,other,75,8
41723,Kingmaker Mafia - Game Over - All hail PLOTTER SCUM Free Beer!,classic,246,3
40936,"Vote Mafia, Round 3! (Game Over! Mafia Wins)",closed-setup,510,4
40802,Toon Mafia III - Day 4 - All Cheer For Humvees! - GAMEOVER,closed-setup,291,4
42028,Secret Santa Mafia: Sign up + 1st day,other,24,8
41859,Red Vs Blue Election Mafia [6 Spaces Left!],other,17,8
41279,Weirdo Mafia Round 1 Over! Day 3 Mafia Victory!,closed-setup,407,4
40657,Religious Flame War Mafia - END GAME,closed-setup,190,4
41333,FYI,other,3,8
40800,DF Mafia Round 2(Sign Up!),other,16,8
39985,"Vote Mafia, Round 2! (Game Over!)",closed-setup,348,4
40018,Toon Mafia II - Day 4 - One Of Us Is Not Us - GAME OVER,closed-setup,287,4
40063,DF Mafia New Round Ended town`wins,classic,239,3
40312,"Where Are The Doppelgangers? (Mafia-Style Game)  [DAY 3, LASTDAY]",non-mafia-game,166,7
39061,Vote Mafia (Game Over!),classic,508,3
32062,Lord of the Rings:A Mafia Game: SIGN UP!,other,68,8
39982,"Super-Lyncher Mafia Night 1 (REREAD THE LYNCH POST, ERROR CORRECTED)",other,85,8
39156,Paranormal Mafia - Round 7 - Game is ended,paranormal,704,9
39735,"Time Travel Mafia, Day 3",closed-setup,190,4
35597,Ridiculous Mafia 2: The Return (Turn 2:Day),other,155,8
38641,Toon Mafia - Day 4 - Fatal Decisions - GAME OVER,closed-setup,274,4
39513,Coriolanus Mafia or Time Travel Mafia [Vote Now!],other,38,8
39548,SHAD0W's Mafia(CANCELED),other,18,8
38942,Paranormal Mafia - Round 7 - Signups Closed - game will start Tuesday,other,82,8
37226,Paranormal Mafia - Round 6 - Game Over,paranormal,657,9
38085,Mind Screw Mafia (shot and killed),other,16,8
36361,Romeo and Juliet Mafia [Sign-Up Mode!],other,47,8
37285,Mafia Ideas discussion thread,other,19,8
36461,Soviet Union Setup,other,2,8
37243,mafia-RPG hybrid [Day -CANCELED DUE TO LACK OF INTREST-],other,45,8
36388,Re: Delta Green Mafia (Suspended due to lack of activity),other,79,8
36901,LoTR Mafia Ch.1: (Day 2),other,221,8
36961,"Pirate Mafia 2, Night 3.",other,396,8
35867,i was spy all along - Night 1,other,81,8
34102,Imperial Mafia(Redone),other,25,8
37586,Alien Mafia #3,other,6,8
35348,Make-Your-Own-Mafia=NIGHT 3,other,305,8
37179,Japanese Stronghold - European Castle - Day 0,other,4,8
35833,Nuclear Apocolypse RP: Sign Ups Open!,other,14,8
36305,Paranormal Mafia - Round 5 - Shortest Paranormal game EVER,paranormal,393,9
37034,Viruses and People -=Mafia Game=-,other,15,8
34942,Dwarf Fortress Mafia Round 4 (Round Over: Elves Win),classic,280,3
35711,"Pirate Mafia 2, Still interest?",other,70,8
34516,Mind & Magic Mafia! Round Two! Day 6!,other,183,8
35306,Imperium Mafia Round Two Day 4,other,184,8
35576,Paranormal Mafia - New Round 4 - Day 5 - Game Over!,paranormal,215,9
28682,"CCS Rampage in Liberal City, USA---A Mafia Style Game (LIBERAL FIREBOMBING!/END)",closed-setup,252,4
35716,Free For All Mafia,other,4,8
31176,MAFIA:  Bajo Flores druglords  (FOREVER NIGHT) (NEW POLL: Vote now),other,225,8
35653,An idea I had for a mafia game. Accepting suggestions...,other,2,8
35342,Paranormal Mafia Game - Round 4 - SCRATCH - Do-over in new thread,other,149,8
32387,DF Mafia Round 3 (Dwarves Win),closed-setup,459,4
31822,"Ridiculous Mafia (Round 1, Day 3 (1:3:Day)) CANCELED",other,359,8
34021,Paranormal Mafia game - Round 3 - Day 7 ends the game,paranormal,511,9
33077,Imperium Mafia day 5,classic,177,3
35301,Imperium Mafia Rules Discussion,other,26,8
33577,Alien Mafia #2---DAY 5,other,211,8
32973,Mind & Magic Mafia! Sixth Day!,closed-setup,320,4
32093,Paranormal Mafia game - Round 2 - Game over!,paranormal,603,9
33772,Paranormal Mafia: Rules Discussion Thread,other,68,8
33079,Alien Mafia--Game Over,classic,61,3
32989,Psyco Jelly's Undead Mafia,other,12,8
30843,"Dwarf Fortress Mafia, anyone? (Round 2 Over!)",classic,641,3
31763,Paranormal mafia game - Beware of Doppelgangers (Day 3 - game over!),paranormal,169,9
31457,Third-World Mafia [GAME OVER],closed-setup,103,4
30414,Mafia Game - The end,closed-setup,207,4
27839,Mafia - The End,classic,307,3
28183,Pirate Mafia ARRGH!!! - It's over.,classic,184,3
28239,Space Mafia,other,12,8
14868,Mafia game,other,11,8
79995,King of the Mafia - Always In Sign-Ups: Round 13,kotm,1320,6
88731,"Vengeful Mafia 8: Pirate commits suicide, Scum wins",vengeful,120,12
82626,Beginner's Vengeful Mafia 1 [Game Over - Justice Prevails!],vengeful,273,12
82498,"Game Over, park staff win!",vengeful,110,12
78693,Supernatural Mafia - RP Edition - Game Over - Werewolf Victory,supernatural,351,10
78028,Vengeful Mafia 6 - Pawntown wins! Argembarger and Jack live happily ever after!,vengeful,180,12
76590,Paranormal Mafia - Round 18 - Setting up,other,54,8
74938,Supernatural Mafia - Round 3 - Game over!,supernatural,358,10
71786,Vengeful Mafia 5 - Game Over - Elvis wins.,vengeful,58,12
69398,Vengeful Mafia 4 - Game Over - Town Wins,vengeful,137,12
68954,"Cybrid Mafia II - Welcome to hell, the glitches have landed. - Game Over",cybrid,266,5
68141,Vengeful Mafia 2 - Over - Mafia ULTRASUPERWIN! Toaster & Zathras ROXORZZ!!,vengeful,119,12
68577,"Vengeful Mafia 3 - Over, Mafia wins.",vengeful,204,12
67732,"Cybrid Mafia II Sign Up -FULL GAME - - Welcome to hell, the glitches have landed",cybrid,38,5
67453,Vengeful Mafia 1 - Over - Mafia Wins!,vengeful,155,12
62587,Supernatural Mafia - Round 2 - Game over!,supernatural,426,10
59269,Supernatural Mafia - Game over!,supernatural,426,10
48944,"Cybrid Mafia : I//S//E - Game has ended, Cybrid Victory! ToonyMan, Dakarian win!",cybrid,651,5
46005,King of the Mafia  - Game Over,kotm,397,6
